time,open,high,low,close
2024-10-15T16:30:00+03:00,20464.4,20491.8,20438.9,20463.7
2024-10-16T16:30:00+03:00,20187.9,20192.3,20078.3,20081.3
2024-10-17T16:30:00+03:00,20408.6,20414.1,20241.9,20286.3
2024-10-18T16:30:00+03:00,20306,20343.5,20275.4,20338.2
2024-10-21T16:30:00+03:00,20279.9,20339,20274.3,20328
2024-10-22T16:30:00+03:00,20256.3,20312.2,20223.9,20298.8
2024-10-23T16:30:00+03:00,20291.7,20318.7,20265.2,20283.7
2024-10-24T16:30:00+03:00,20232.8,20234.9,20172.3,20203.3
2024-10-25T16:30:00+03:00,20354,20451.5,20353.6,20449.4
2024-10-28T16:30:00+03:00,20497.6,20497.6,20428.8,20440.5
2024-10-29T16:30:00+03:00,20384.7,20400,20307.8,20363
2024-10-30T16:30:00+03:00,20538.4,20546.5,20421.5,20434
2024-10-31T16:30:00+03:00,20244,20247.4,20132,20138.7
2024-11-01T16:30:00+03:00,19949.1,20045.9,19939.5,20031.3
2024-11-04T16:30:00+03:00,20051,20067.8,20044.3,20044.8
2024-11-05T16:30:00+03:00,20046.4,20057,20045.8,20052
2024-11-06T16:30:00+03:00,20600.3,20614.4,20584.4,20589.1
2024-11-07T16:30:00+03:00,20878.5,20884,20856.7,20876.6
2024-11-08T16:30:00+03:00,21079.6,21079.6,21056.4,21060.9
2024-11-11T16:30:00+03:00,21215.4,21217.8,21200.9,21205.4
2024-11-12T16:30:00+03:00,21117.1,21129.8,21111.4,21124.4
2024-11-13T16:30:00+03:00,21059,21156.3,21051.1,21144.9
2024-11-14T16:30:00+03:00,21089.8,21089.8,21028.9,21067.4
2024-11-15T16:30:00+03:00,20747.2,20768.1,20718.9,20730.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
